,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,Jun-2020,Jun-2021
10.3,Apr-2018,Apr-2020,Apr-2020,Apr-2021
10.2,Feb-2018,Feb-2020,Feb-2020,Feb-2021
10.1,Dec-2017,Dec-2019,Dec-2019,Dec-2020
9.10,Oct-2017,Oct-2019,Oct-2019,Oct-2020
9.9.5,Jun-2017,Jun-2019,Jun-2019,Jun-2020
9.9,Mar-2017,Mar-2019,Mar-2019,Mar-2020
9.8,Dec-2016,Dec-2018,Dec-2018,Dec-2019
9.7,Jun-2016,Jun-2018,Jun-2018,Jun-2019
9.6,Feb-2016,Feb-2018,Feb-2018,Feb-2019
9.5,Oct-2015,Oct-2017,Oct-2017,Oct-2018
9.3,July-2015,July-2017,July-2017,July-2018
9.2,Apr-2015,Apr-2017,Apr-2017,Apr-2018
9.1,Jan-2015,Jan-2017,Jan-2017,Jan-2018
9.0,Nov-2014,Nov-2016,Nov-2016,Nov-2017
8.6,Jul-2014,Jul-2016,Jul-2016,Jul-2017
8.5,Apr-2014,Apr-2016,Apr-2016,Apr-2017
8.2,Feb-2014,Feb-2016,Feb-2016,Feb-2017
8.1,Nov-2013,Nov-2015,Nov-2015,Nov-2016
8.0,Aug-2013,Aug-2015,Aug-2015,Aug-2016
7.2,May-2013,May-2015,May-2015,May-2016
7.1,May-2012,May-2014,May-2014,May-2015
7.0,Feb-2012,Feb-2014,Feb-2014,Feb-2015
6.0 Enhancements1,Feb-2011,Feb-2013,Feb-2013,Feb-2014
6.0,May-2010,May-2012,May-2012,May-2013
5.5,Sep-2009,Sep-2011,Sep-2011,Sep-2012
5.0,Feb-2009,Feb-2011,Feb-2011,Feb-2012
4.6,Jun-2008,Jun-2010,Jun-2010,Jun-2011
4.5,Nov-2007,Nov-2009,Nov-2009,Nov-2010
4.1,Jan-2007,Jan-2009,Jan-2009,Jan-2010
